player_id,surname,forename,player_name,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3
BarrettArthur19271221,Barrett,Arthur,Arthur Barrett,Half Back,,,,
BarrieJohn19250517,Barrie,John,John Barrie,Fullback,,,,
BartonTeddy11904,Barton,Teddy,Teddy Barton,Right Half,,,,
BauressGary19710119,Bauress,Gary,Gary Bauress,Center Half,,,,
BavinJohn19210525,Bavin,John,John Bavin,Fullback,,,,
BaxterJose19920207,Baxter,Jose,Jose Baxter,,Forward,Attacking Midfield,Central Midfield,Second Striker
BeamishKenny19470825,Beamish,Kenny,Kenny Beamish,Forward,,Centre-Forward,,
BedfordFred19020625,Bedford,Fred,Fred Bedford,Outside Right,,,,
BelehouanJean20000901,Belehouan,Jean,Jean Belehouan,,Defender,Centre-Back,Left-Back,
BellBaggieAbdulai19920428,Bell-Baggie,Abdulai,Abdulai Bell-Baggie,,Midfielder,Right Winger,Left Winger,
BellBunny19110410,Bell,Bunny,Bunny Bell,Center Forward,,,,
BellGraham19550330,Bell,Graham,Graham Bell,Midfielder,,,,
BellHarold19241122,Bell,Harold,Harold Bell,Center Half,,,,
BennettGary19630920,Bennett,Gary,Gary Bennett,Forward,,Centre-Forward,,
BensonLiam19920225,Benson,Liam,Liam Benson,,Defender,Left-Back,Centre-Back,Right-Back
BeresfordDavid19761111,Beresford,David,David Beresford,,Midfielder,Left Midfield,,
BestJohn19400711,Best,John,John Best,Half Back,,,,
BeswickSammy19030308,Beswick,Sammy,Sammy Beswick,Center Forward,,,,
BevanHarry19060223,Bevan,Harry,Harry Bevan,Inside Left,,,,
BillingtonStan19370223,Billington,Stan,Stan Billington,Fullback,,,,
BirminghamCharles19220824,Birmingham,Charles,Charles Birmingham,Inside Forward,,,,
BirtlesDanny19040224,Birtles,Danny,Danny Birtles,Outside Right,,,,
BishopEddie19621128,Bishop,Eddie,Eddie Bishop,Midfielder,,Central Midfield,,
BlackMichael19761006,Black,Michael,Michael Black,,Midfielder,Left Winger,Right Winger,
BlackPaul19900118,Black,Paul,Paul Black,,Defender,Left-Back,,
BlackettTaylorCorey19970923,Blackett-Taylor,Corey,Corey Blackett-Taylor,,Forward,Right Winger,Left Winger,
BlackhamJoe20010910,Blackham,Joe,Joe Blackham,,Midfielder,Defensive Midfield,Central Midfield,Right-Back
BlanchardMaxime19860927,Blanchard,Maxime,Maxime Blanchard,,Defender,Centre-Back,Right-Back,Defensive Midfield
BlissettNathan19900629,Blissett,Nathan,Nathan Blissett,,Forward,Centre-Forward,Left Winger,Right Winger
BlundellAlan19470818,Blundell,Alan,Alan Blundell,Half Back,,,,
BolandAntonie19941230,Boland,Antonie,Antonie Boland,,Defender,Centre-Back,Left-Back,Defensive Midfield
BonettiIvano19640801,Bonetti,Ivano,Ivano Bonetti,Winger,Midfielder,Right Winger,Left Winger,
BorthwickJacksonCameron19970202,Borthwick-Jackson,Cameron,Cameron Borthwick-Jackson,,Defender,Left-Back,Centre-Back,
BowenWilliam19090316,Bowen,William,William Bowen,Center Forward,,,,
BracewellKen19361005,Bracewell,Ken,Ken Bracewell,Fullback,,,,
BradshawGeorge19040312,Bradshaw,George,George Bradshaw,Left Back,,,,
BradshawHarry18950122,Bradshaw,Harry,Harry Bradshaw,Goalkeeper,,,,
BramhallJohn19561120,Bramhall,John,John Bramhall,Center Half,,,,
BranchGraham19720212,Branch,Graham,Graham Branch,Winger,Midfielder,Left Winger,Left Midfield,Left-Back
